Player,Position,Age,Team,G,Tgt,Rec,Yds,Target_Share,CATCHABLE,AIR,team_air,air_pct,RZ TGT,RZ_REC,RZ_REC_PCT,RZ_P_TD,RZ_TGT_PCT,Routes Run,FPTS,FPTS/G,XFP,fpts_diff,RTD,TD/G,XTD,td_diff,WOPR,VOR,YPRR,normalized_line,TGT/G
ryan miller,WR,25,TAM,9,4,2,34,0.74,3,70,4504,1.55,1,1,100.0%,1,2.2%,33,11.4,1.3,0.9,0.4,1,0.11,0.04,0.07,0.02,-11.7,1.03,,0.44
trey palmer,WR,24,NOR,0,0,0,0,0.0,0,0,4678,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
dante pettis,WR,30,NOR,8,11,9,127,1.95,9,105,4787,2.19,0,0,,0,0.0%,78,19.7,2.5,2.1,0.4,0,0.0,0.02,-0.02,0.04,-10.5,1.63,,1.38
jalynn polk,WR,23,NOR,0,0,0,0,0.0,0,0,4678,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
kevin austin,WR,25,NOR,5,23,13,140,4.07,17,191,4787,3.99,2,1,50.0%,1,5.9%,152,33.0,6.6,7.2,-0.6,1,0.2,0.13,0.07,0.09,-6.4,0.92,,4.6
devin duvernay,WR,28,CHI,17,5,2,26,0.94,2,75,4944,1.52,1,1,100.0%,0,2.4%,25,4.6,0.3,0.6,-0.3,0,0.0,0.04,-0.04,0.02,-12.7,1.04,,0.29
tylan wallace,WR,26,BAL,11,8,4,45,1.97,4,107,3422,3.13,2,1,50.0%,1,8.0%,90,14.5,1.3,1.5,-0.2,1,0.09,0.1,-0.01,0.05,-11.7,0.5,,0.73
ryan flournoy,WR,26,DAL,15,56,40,475,9.23,42,466,5069,9.19,7,4,57.1%,3,12.5%,274,114.0,7.6,6.8,0.8,4,0.27,0.23,0.03,0.2,-5.4,1.73,,3.73
malik heath,WR,25,GNB,7,7,6,86,1.52,6,65,4283,1.52,0,0,,0,0.0%,103,14.6,2.1,1.4,0.7,0,0.0,0.01,-0.01,0.03,-10.9,0.83,,1.0
odell beckham,WR,33,FA,0,0,0,0,0.0,0,0,0,0.0,0,0,,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
deandre carter,WR,32,CLE,4,0,0,0,0.0,0,0,3591,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
jamison crowder,WR,32,FA,0,0,0,0,0.0,0,0,0,0.0,0,0,,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
rakim jarrett,WR,24,PIT,0,0,0,0,0.0,0,0,3166,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
bub means,WR,24,NOR,0,0,0,0,0.0,0,0,4678,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
jalin hyatt,WR,24,NYG,6,14,5,35,2.78,5,280,4473,6.26,1,0,0.0%,0,3.0%,109,8.5,1.4,3.8,-2.4,0,0.0,0.1,-0.1,0.09,-11.6,0.32,,2.33
zay jones,WR,30,ARI,6,18,12,183,2.92,12,241,4660,5.17,2,0,0.0%,0,4.9%,173,30.3,5.0,5.3,-0.3,0,0.0,0.13,-0.13,0.08,-8.0,1.06,,3.0
bo melton,WR,26,GNB,13,13,4,107,2.83,5,222,4283,5.18,0,0,,0,0.0%,50,24.2,1.9,1.8,0.0,1,0.08,0.02,0.05,0.08,-11.1,2.14,,1.0
trent sherfield,WR,29,2TM,4,5,3,21,0.86,3,45,4488,1.0,2,1,50.0%,0,2.2%,81,5.1,1.3,2.2,-0.9,0,0.0,0.08,-0.08,0.02,-11.7,0.26,,1.25
britain covey,WR,28,PHI,6,4,2,20,0.86,3,8,4483,0.18,0,0,,0,0.0%,27,4.0,0.7,0.9,-0.2,0,0.0,0.01,-0.01,0.01,-12.3,0.74,,0.67
river cracraft,WR,31,WAS,2,0,0,0,0.0,0,0,3750,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
khadarel hodge,WR,31,ATL,8,10,3,31,1.93,4,150,4170,3.6,0,0,,0,0.0%,39,6.1,0.8,2.1,-1.3,0,0.0,0.03,-0.03,0.05,-12.2,0.79,,1.25
kj osborn,WR,28,ATL,0,0,0,0,0.0,0,0,4184,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
brandon powell,WR,30,FA,0,0,0,0,0.0,0,0,0,0.0,0,0,,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
jalen reagor,WR,26,LAC,0,0,0,0,0.0,0,0,4407,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
ainias smith,WR,24,CAR,0,0,0,0,0.0,0,0,3259,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
michael woods,WR,25,FA,0,0,0,0,0.0,0,0,0,0.0,0,0,,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
parris campbell,WR,28,DAL,1,0,0,0,0.0,0,0,4925,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
chris conley,WR,33,FA,0,0,0,0,0.0,0,0,0,0.0,0,0,,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
simi fehoko,WR,28,ARI,7,0,0,0,0.0,0,0,4450,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
xavier gipson,WR,24,PHI,6,2,2,6,0.42,2,-9,3404,-0.26,1,1,100.0%,0,3.3%,3,2.6,0.4,0.5,-0.1,0,0.0,0.01,-0.01,0.0,-12.6,2.0,,0.33
bryce oliver,WR,25,TEN,2,1,1,8,0.19,1,6,4014,0.15,0,0,,0,0.0%,22,1.8,0.9,0.7,0.2,0,0.0,0.0,0.0,0.0,-12.1,0.36,,0.5
scott miller,WR,28,PIT,5,14,9,62,2.68,9,74,3280,2.26,2,1,50.0%,0,7.1%,100,15.2,3.0,4.4,-1.4,0,0.0,0.11,-0.11,0.06,-10.0,0.62,,2.8
laviska shenault,WR,27,BUF,0,0,0,0,0.0,0,0,3492,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
ben skowronek,WR,28,PIT,16,6,4,69,1.15,4,61,3280,1.86,1,0,0.0%,0,3.6%,56,16.9,1.1,0.7,0.4,1,0.06,0.03,0.04,0.03,-11.9,1.23,,0.38
johnny wilson,WR,24,PHI,0,0,0,0,0.0,0,0,4212,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
treylon burks,WR,25,WAS,8,22,10,130,5.09,10,296,3998,7.4,4,1,25.0%,1,12.5%,154,29.0,3.6,5.1,-1.5,1,0.12,0.26,-0.13,0.13,-9.4,0.84,,2.75
jermaine burton,WR,24,CIN,0,0,0,0,0.0,0,0,4565,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
dj chark,WR,29,FA,0,0,0,0,0.0,0,0,0,0.0,0,0,,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
jacob cowing,WR,24,SFO,0,0,0,0,0.0,0,0,4130,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
deven thompkins,WR,26,ATL,7,3,3,27,0.58,3,7,4170,0.17,0,0,,0,0.0%,9,6.2,0.9,0.7,0.1,0,0.0,0.0,0.0,0.01,-12.1,3.0,,0.43
tyquan thornton,WR,25,KAN,12,37,19,438,6.74,22,995,4533,21.95,4,2,50.0%,2,8.3%,258,80.8,6.7,6.4,0.4,3,0.25,0.34,-0.09,0.25,-6.3,1.7,,3.08
alex bachman,WR,29,LVR,11,3,2,12,0.61,2,14,3208,0.44,0,0,,0,0.0%,17,3.2,0.3,0.4,-0.1,0,0.0,0.0,0.0,0.01,-12.7,0.71,,0.27
david bell,WR,25,CLE,0,0,0,0,0.0,0,0,3591,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
dan chisena,WR,28,CAR,0,0,0,0,0.0,0,0,3259,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
malachi corley,WR,23,CLE,12,14,11,79,2.68,11,-7,3785,-0.18,1,1,100.0%,0,5.3%,76,31.6,2.6,2.5,0.1,0,0.0,0.07,-0.07,0.04,-10.4,1.04,,1.17
dwayne eskridge,WR,28,MIA,11,7,4,62,1.52,4,98,3362,2.91,0,0,,0,0.0%,57,10.2,0.9,0.8,0.1,0,0.0,0.0,0.0,0.04,-12.1,1.09,,0.64
trenton irwin,WR,30,NYJ,0,0,0,0,0.0,0,0,3218,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
tim jones,WR,27,JAX,2,1,1,15,0.18,1,4,4880,0.08,0,0,,0,0.0%,11,2.5,1.2,0.7,0.5,0,0.0,0.0,0.0,0.0,-11.8,1.36,,0.5
terrace marshall,WR,25,PHI,0,0,0,0,0.0,0,0,4212,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
james proche,WR,29,TEN,6,12,6,65,2.26,6,175,4014,4.36,0,0,,0,0.0%,110,12.5,2.1,2.8,-0.7,0,0.0,0.02,-0.02,0.06,-10.9,0.59,,2.0
allen robinson,WR,32,FA,0,0,0,0,0.0,0,0,0,0.0,0,0,,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
jamari thrash,WR,25,CLE,8,15,10,107,2.87,10,102,3785,2.69,1,1,100.0%,0,5.3%,136,20.7,2.6,2.4,0.1,0,0.0,0.01,-0.01,0.06,-10.4,0.79,,1.88
ronnie bell,WR,25,NOR,2,4,2,23,0.71,2,78,4787,1.63,2,1,50.0%,1,5.9%,22,10.3,5.2,4.0,1.1,1,0.5,0.29,0.21,0.02,-7.8,1.05,,2.0
grant dubose,WR,24,BUF,0,0,0,0,0.0,0,0,3492,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
ashton dulin,WR,28,IND,12,10,5,106,1.89,5,158,4380,3.61,1,1,100.0%,0,2.5%,76,20.0,1.7,2.0,-0.3,0,0.0,0.06,-0.06,0.05,-11.3,1.39,,0.83
isaiah hodgins,WR,27,NYG,6,19,10,115,3.78,10,207,4473,4.63,4,1,25.0%,1,12.1%,207,27.5,4.6,5.7,-1.1,1,0.17,0.3,-0.14,0.09,-8.4,0.56,,3.17
mason kinsey,WR,27,TEN,6,4,2,48,0.75,3,92,4014,2.29,0,0,,0,0.0%,44,6.8,1.1,1.2,-0.1,0,0.0,0.04,-0.04,0.03,-11.9,1.09,,0.67
nikko remigio,WR,26,KAN,14,1,1,21,0.18,1,18,4533,0.4,0,0,,0,0.0%,8,4.2,0.3,0.2,0.1,0,0.0,0.0,0.0,0.01,-12.7,2.62,,0.07
xavier smith,WR,28,LAR,16,24,18,303,4.13,19,405,5428,7.46,3,3,100.0%,0,5.2%,150,48.3,3.0,2.7,0.3,0,0.0,0.06,-0.06,0.11,-10.0,2.02,,1.5
austin trammell,WR,27,JAX,6,10,3,46,1.83,4,130,4880,2.66,1,0,0.0%,0,2.0%,48,7.6,1.3,3.2,-1.9,0,0.0,0.13,-0.13,0.05,-11.7,0.96,,1.67
cody white,WR,27,SEA,8,4,3,90,0.88,3,39,3758,1.04,0,0,,0,0.0%,45,18.0,2.2,0.9,1.4,1,0.12,0.0,0.12,0.02,-10.8,2.0,,0.5
kristian wilkerson,WR,28,BUF,0,0,0,0,0.0,0,0,3492,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
isaiah williams,WR,24,NYJ,15,36,26,193,7.63,29,122,3404,3.58,1,1,100.0%,0,3.6%,212,60.7,4.0,3.2,0.8,0,0.0,0.02,-0.02,0.14,-9.0,0.91,,2.4
javon baker,WR,23,SFO,0,0,0,0,0.0,0,0,4130,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
chris blair,WR,28,ATL,1,0,0,0,0.0,0,0,4184,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
robbie chosen,WR,32,WAS,3,9,5,53,2.08,5,131,3998,3.28,0,0,,0,0.0%,45,10.3,3.4,5.2,-1.7,0,0.0,0.13,-0.13,0.05,-9.6,1.18,,3.0
jaelon darden,WR,26,FA,0,0,0,0,0.0,0,0,0,0.0,0,0,,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
anthony gould,WR,24,IND,11,2,2,6,0.38,2,-2,4380,-0.05,0,0,,0,0.0%,31,2.6,0.2,0.2,0.0,0,0.0,0.0,0.0,0.01,-12.8,0.19,,0.18
jhaquan jackson,WR,25,NOR,0,0,0,0,0.0,0,0,4678,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
brandon johnson,WR,22,PHI,2,0,0,0,0.0,0,0,4212,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
collin johnson,WR,28,LVR,0,0,0,0,0.0,0,0,3199,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
charlie jones,WR,27,CIN,14,1,0,0,0.16,0,42,4707,0.89,0,0,,0,0.0%,12,6.0,0.4,0.2,0.2,0,0.0,0.02,-0.02,0.01,-12.6,0.0,,0.07
velus jones,WR,28,SEA,5,0,0,0,0.0,0,0,3661,0.0,0,0,,0,0.0%,0,3.2,0.6,0.4,0.2,0,0.0,0.01,-0.01,0.0,-12.4,,,0.0
ramel keyton,WR,25,FA,0,0,0,0,0.0,0,0,0,0.0,0,0,,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
tay martin,WR,28,WAS,2,2,2,23,0.46,2,18,3998,0.45,0,0,,0,0.0%,15,4.3,2.1,1.6,0.6,0,0.0,0.01,-0.01,0.01,-10.8,1.53,,1.0
anthony miller,WR,31,BAL,0,0,0,0,0.0,0,0,3376,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
kendric pryor,WR,27,CIN,0,0,0,0,0.0,0,0,4565,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
john ross,WR,30,FA,0,0,0,0,0.0,0,0,0,0.0,0,0,,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
tyler scott,WR,24,LAR,0,0,0,0,0.0,0,0,5296,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
tyrell shavers,WR,26,BUF,11,23,15,245,4.8,15,298,3614,8.25,0,0,,0,0.0%,209,45.5,4.1,3.5,0.6,1,0.09,0.06,0.03,0.13,-8.9,1.17,,2.09
trent taylor,WR,31,SFO,0,0,0,0,0.0,0,0,4130,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
brycen tremayne,WR,26,CAR,15,18,14,160,3.75,14,157,3450,4.55,1,1,100.0%,0,2.5%,114,30.0,2.0,1.7,0.3,0,0.0,0.01,-0.01,0.09,-11.0,1.4,,1.2
devontez walker,WR,24,BAL,8,8,6,136,1.97,6,196,3422,5.73,1,1,100.0%,1,4.0%,61,37.6,4.7,2.3,2.4,3,0.38,0.15,0.22,0.07,-8.3,2.23,,1.0
casey washington,WR,24,ATL,5,14,6,94,2.7,7,262,4170,6.28,0,0,,0,0.0%,101,15.4,3.1,5.0,-2.0,0,0.0,0.06,-0.06,0.08,-9.9,0.93,,2.8
braxton berrios,WR,30,HOU,4,8,6,37,1.45,6,24,4765,0.5,2,2,100.0%,0,4.2%,42,9.7,2.4,2.9,-0.5,0,0.0,0.02,-0.02,0.03,-10.6,0.88,,2.0
irvin charles,WR,28,NYJ,0,0,0,0,0.0,0,0,3218,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
erik ezukanma,WR,25,JAX,0,0,0,0,0.0,0,0,4879,0.0,0,0,,0,0.0%,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
kameron johnson,WR,23,TAM,17,7,4,64,1.29,5,88,4504,1.95,0,0,,0,0.0%,43,17.7,1.0,0.8,0.2,1,0.06,0.01,0.05,0.03,-12.0,1.49,,0.41
tom kennedy,WR,29,DET,6,4,4,36,0.73,4,32,3732,0.86,0,0,,0,0.0%,30,7.6,1.3,1.0,0.3,0,0.0,0.01,-0.01,0.02,-11.7,1.2,,0.67
skyy moore,WR,25,SFO,17,7,5,87,1.27,5,110,4296,2.56,0,0,,0,0.0%,69,14.8,0.9,0.8,0.1,0,0.0,0.01,-0.01,0.04,-12.1,1.26,,0.41
justyn ross,WR,26,FA,0,0,0,0,0.0,0,0,0,0.0,0,0,,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
kadarius toney,WR,26,FA,0,0,0,0,0.0,0,0,0,0.0,0,0,,0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.0,,,0.0
xavier weaver,WR,25,ARI,7,13,7,67,2.11,7,192,4660,4.12,3,2,66.7%,0,7.3%,199,13.7,2.0,3.4,-1.5,0,0.0,0.14,-0.14,0.06,-11.0,0.34,,1.86
dareke young,WR,26,SEA,8,3,2,48,0.66,2,57,3758,1.52,0,0,,0,0.0%,17,6.8,0.8,0.6,0.3,0,0.0,0.01,-0.01,0.02,-12.2,2.82,,0.38
Tetairoa McMillan,WR,22,CAR,17,122,70,1014,25.42,78,1410,3450,40.87,15,10,66.7%,4,37.5%,553,213.4,12.6,12.0,0.5,7,0.41,0.37,0.04,0.67,-0.4,1.83,,7.18
Emeka Egbuka,WR,23,TAM,17,127,63,938,23.48,72,1572,4504,34.9,14,5,35.7%,2,30.4%,540,195.7,11.5,14.0,-2.5,6,0.35,0.41,-0.05,0.6,-1.5,1.74,,7.47
Jayden Higgins,WR,23,HOU,17,68,41,525,12.3,44,839,4765,17.61,8,5,62.5%,4,16.7%,366,129.5,7.6,7.0,0.6,6,0.35,0.23,0.13,0.31,-5.4,1.43,,4.0
Chimere Dike,WR,24,TEN,17,74,48,423,13.96,50,599,4014,14.92,14,10,71.4%,3,50.0%,411,128.1,7.5,7.6,-0.1,4,0.24,0.26,-0.03,0.31,-5.5,1.03,,4.35
Luther Burden III,WR,22,CHI,15,60,47,652,11.28,51,460,4944,9.3,4,3,75.0%,0,9.5%,243,127.9,8.5,6.7,1.8,2,0.13,0.08,0.05,0.23,-4.5,2.68,,4.0
Elic Ayomanor,WR,22,TEN,16,89,41,515,16.79,46,1126,4014,28.05,8,5,62.5%,4,28.6%,503,116.5,7.3,8.7,-1.4,4,0.25,0.21,0.04,0.45,-5.7,1.02,,5.56
Tez Johnson,WR,23,TAM,15,44,28,322,8.13,30,516,4504,11.46,7,6,85.7%,3,15.2%,300,92.4,6.2,5.7,0.5,5,0.33,0.17,0.16,0.2,-6.8,1.07,,2.93
Isaac TeSlaa,WR,23,DET,14,27,16,239,4.91,16,352,3732,9.43,11,7,63.6%,6,19.3%,294,75.9,5.4,4.4,1.0,6,0.43,0.33,0.1,0.14,-7.6,0.81,,1.93
Pat Bryant,WR,23,DEN,13,49,31,378,8.39,34,410,4488,9.14,8,5,62.5%,0,15.4%,310,74.8,5.8,6.3,-0.5,1,0.08,0.15,-0.07,0.19,-7.2,1.22,,3.77
Matthew Golden,WR,22,GNB,14,44,29,361,9.57,30,552,4283,12.89,2,1,50.0%,0,5.4%,269,70.0,5.0,5.6,-0.6,0,0.0,0.12,-0.12,0.23,-8.0,1.34,,3.14
Tre Harris,WR,23,LAC,16,43,30,324,7.9,31,398,4546,8.75,5,3,60.0%,1,9.4%,294,69.4,4.3,4.3,0.0,1,0.06,0.09,-0.02,0.18,-8.7,1.1,,2.69
Jaylin Noel,WR,23,HOU,17,35,26,292,6.33,27,327,4765,6.86,5,2,40.0%,1,10.4%,203,68.4,4.0,3.6,0.4,2,0.12,0.11,0.01,0.14,-9.0,1.44,,2.06
Tory Horton,WR,23,SEA,8,22,13,161,4.84,13,337,3758,8.97,4,2,50.0%,2,11.4%,139,65.1,8.1,5.9,2.3,5,0.62,0.35,0.27,0.14,-4.9,1.16,,2.75
Isaiah Bond,WR,21,CLE,15,44,18,338,8.43,21,751,3785,19.84,4,1,25.0%,0,21.1%,344,54.7,3.6,4.9,-1.2,0,0.0,0.16,-0.16,0.27,-9.4,0.98,,2.93
Jaylin Lane,WR,23,WAS,15,32,16,225,7.41,17,427,3998,10.68,2,1,50.0%,0,6.2%,205,51.2,3.4,3.7,-0.3,0,0.0,0.09,-0.09,0.19,-9.6,1.1,,2.13
Kyle Williams,WR,23,NWE,14,21,10,209,4.36,11,400,4612,8.67,0,0,,0,0.0%,178,49.2,3.5,2.6,0.9,3,0.21,0.06,0.16,0.13,-9.5,1.17,,1.5
David Sills,WR,30,ATL,12,36,18,191,6.94,23,404,4170,9.69,6,3,50.0%,2,18.2%,335,49.1,4.1,5.1,-1.0,2,0.17,0.14,0.03,0.17,-8.9,0.57,,3.0
Jack Bech,WR,23,LVR,14,29,20,224,5.87,21,240,3208,7.48,4,3,75.0%,0,16.7%,194,42.4,3.0,2.9,0.1,0,0.0,0.03,-0.03,0.14,-10.0,1.15,,2.07
Chris Moore,WR,32,WAS,10,23,11,207,5.32,14,332,3998,8.3,2,0,0.0%,0,6.2%,233,38.6,3.9,4.2,-0.3,1,0.1,0.14,-0.04,0.14,-9.1,0.89,,2.3
Roman Wilson,WR,24,PIT,9,21,12,166,4.02,12,277,3280,8.45,1,0,0.0%,0,3.6%,138,38.6,4.3,3.7,0.6,2,0.22,0.08,0.14,0.12,-8.7,1.2,,2.33
Hunter Renfrow,WR,30,CAR,6,26,15,89,5.42,15,194,3450,5.62,6,5,83.3%,2,15.0%,149,35.9,6.0,7.2,-1.2,2,0.33,0.26,0.07,0.12,-7.0,0.6,,4.33
Gunner Olszewski,WR,29,NYG,16,13,10,145,2.58,10,130,4473,2.91,2,0,0.0%,0,6.1%,71,35.8,2.2,1.5,0.8,1,0.06,0.07,-0.01,0.06,-10.8,2.04,,0.81
Mitchell Tinsley,WR,26,CIN,8,24,8,116,3.95,9,354,4707,7.52,5,2,40.0%,2,10.2%,149,31.6,4.0,5.6,-1.6,2,0.25,0.26,-0.01,0.11,-9.1,0.78,,3.0
Jimmy Horn Jr.,WR,23,CAR,10,15,11,108,3.12,12,90,3450,2.61,3,1,33.3%,0,7.5%,81,28.7,2.9,2.7,0.2,0,0.0,0.03,-0.03,0.07,-10.1,1.33,,1.5
Jahdae Walker,WR,23,CHI,6,10,6,87,1.88,7,130,4944,2.63,2,1,50.0%,1,4.8%,64,26.7,4.5,3.5,1.0,2,0.33,0.2,0.13,0.05,-8.6,1.36,,1.67
Theo Wease Jr.,WR,24,MIA,3,10,6,139,2.16,6,137,3362,4.07,1,0,0.0%,0,3.2%,39,25.9,8.6,5.7,2.9,1,0.33,0.13,0.2,0.06,-4.4,3.56,,3.33
Savion Williams,WR,24,GNB,12,10,10,78,2.17,10,17,4283,0.4,4,4,100.0%,1,10.8%,43,25.5,2.1,1.9,0.2,1,0.08,0.05,0.04,0.04,-10.9,1.81,,0.83
Konata Mumpfield,WR,23,LAR,10,23,10,92,3.96,12,296,5428,5.45,4,3,75.0%,1,6.9%,177,25.2,2.5,4.0,-1.5,1,0.1,0.1,0.0,0.1,-10.5,0.52,,2.3
Dont'e Thornton Jr.,WR,23,LVR,11,30,10,135,6.07,13,497,3208,15.49,2,1,50.0%,0,8.3%,252,23.5,2.1,4.7,-2.5,0,0.0,0.09,-0.09,0.2,-10.9,0.54,,2.73
Darius Cooper,WR,24,PHI,6,11,9,92,2.37,9,109,4483,2.43,0,0,,0,0.0%,103,18.2,3.0,3.0,0.1,0,0.0,0.05,-0.05,0.05,-10.0,0.89,,1.83
Efton Chism III,WR,24,NWE,8,3,3,75,0.62,3,35,4612,0.76,1,1,100.0%,1,3.4%,34,16.5,2.1,0.8,1.3,1,0.12,0.05,0.08,0.01,-10.9,2.21,,0.38
KeAndre Lambert-Smith,WR,24,LAC,10,12,5,51,2.21,5,211,4546,4.64,2,2,100.0%,1,3.8%,77,16.1,1.6,2.0,-0.4,1,0.1,0.07,0.03,0.07,-11.4,0.66,,1.2
Shedrick Jackson,WR,26,LVR,3,5,4,56,1.01,4,81,3208,2.52,0,0,,0,0.0%,18,15.9,5.3,2.9,2.4,1,0.33,0.1,0.23,0.03,-7.7,3.11,,1.67
Michael Bandy,WR,28,DEN,4,4,4,50,0.68,4,24,4488,0.53,1,1,100.0%,1,1.9%,13,15.0,3.8,1.4,2.4,1,0.25,0.01,0.24,0.01,-9.2,3.85,,1.0
Gage Larvadain,WR,22,CLE,13,14,7,71,2.68,9,125,3785,3.3,0,0,,0,0.0%,132,14.4,1.1,1.5,-0.4,0,0.0,0.02,-0.02,0.06,-11.9,0.54,,1.08
Arian Smith,WR,24,NYJ,13,16,7,52,3.39,8,216,3404,6.35,0,0,,0,0.0%,246,13.5,1.0,1.9,-0.9,0,0.0,0.04,-0.04,0.1,-12.0,0.21,,1.23
Dylan Drummond,WR,25,ATL,6,11,7,42,2.12,7,85,4170,2.04,3,1,33.3%,0,9.1%,77,11.2,1.9,3.2,-1.3,0,0.0,0.12,-0.12,0.05,-11.1,0.55,,1.83
Xavier Restrepo,WR,23,TEN,2,7,3,41,1.32,3,77,4014,1.92,1,1,100.0%,0,3.6%,22,7.1,3.5,5.8,-2.3,0,0.0,0.24,-0.24,0.03,-9.4,1.86,,3.5
Tai Felton,WR,22,MIN,12,3,3,25,0.64,3,11,3757,0.29,0,0,,0,0.0%,21,5.5,0.5,0.4,0.1,0,0.0,0.0,0.0,0.01,-12.5,1.19,,0.25
Tahj Washington,WR,24,MIA,2,5,3,37,1.08,3,124,3362,3.69,1,1,100.0%,0,3.2%,37,4.7,2.4,4.3,-1.9,0,0.0,0.07,-0.07,0.04,-10.7,1.0,,2.5
Jordan Watkins,WR,23,SFO,2,3,2,26,0.55,2,43,4296,1.0,0,0,,0,0.0%,15,4.6,2.3,2.7,-0.4,0,0.0,0.01,-0.01,0.02,-10.7,1.73,,1.5
